대장동계곡_1,고도(대장동계곡),대장동계곡_2,깊이(대장동계곡),대장동계곡_3,경사도(대장동계곡),송하계곡_1,고도(송하계곡),송하계곡_2,깊이(송하계곡),송하계곡_3,경사도(송하계곡),본신계곡_1,고도(본신계곡),본신계곡_2,깊이(본신계곡),본신계곡_3,경사도(본신계곡),얼음골_1,고도(얼음골),얼음골_2,깊이(얼음골),얼음골_3,경사도(얼음골),동산계곡_1,고도(동산계곡),동산계곡_2,깊이(동산계곡),동산계곡_3,경사도(동산계곡),치산계곡_1,고도(치산계곡),치산계곡_2,깊이(치산계곡),치산계곡_3,경사도(치산계곡),용루골천_1,고도(용루골천),용루골천_2,깊이(용루골천),용루골천_3,경사도(용루골천),삼의계곡_1,고도(삼의계곡),삼의계곡_2,깊이(삼의계곡),삼의계곡_3,경사도(삼의계곡),성주봉휴양림_1,고도(성주봉휴양림),성주봉휴양림_2,깊이(성주봉휴양림),성주봉휴양림_3,경사도(성주봉휴양림),용담계곡_1,고도(용담계곡),용담계곡_2,깊이(용담계곡),용담계곡_3,경사도(용담계곡)
0,193.866684,0,334.7612,0,14.95919991,0,371.2571106,0,112.7666016,0,0,0,499.0755615,0,89.9088974,0,21.26040077,0,255.2926636,0,40.98690033,0,17.08309937,0,349.3957214,0,194.2891998,0,1.909199953,0,366.6408691,0,86.98770142,0,17.84269905,0,331.9934692,0,31.68860054,0,5.550700188,0,398.4604492,0,108.044899,0,6.017300129,0,371.0074768,0,212.5921936,0,10.99919987,0,238.6537323,0,104.0739975,0,2.862400055
19.90388401,193.866684,19.90388401,342.64151,19.90388401,12.26010036,19.30589311,371.2571106,19.30589311,115.0177002,19.30589311,0,23.29519827,478.4330139,23.29519827,138.8970032,23.29519827,17.77529907,44.70126221,244.4573975,44.70126221,38.67850113,44.70126221,13.91580009,44.30585159,349.3957214,44.30585159,119.7658997,44.30585159,13.03660011,99.01108681,362.6708069,33.0036956,102.6560974,33.0036956,12.22509956,24.80918036,327.1981812,24.80918036,29.7336998,24.80918036,19.47120094,25.13902215,398.4604492,25.13902215,77.00669861,25.13902215,23.38220024,18.67258354,371.0074768,18.67258354,212.5921936,18.67258354,10.99919987,76.55150749,233.5998535,38.27575375,101.3016968,38.27575375,7.233799934
37.33030216,176.7451935,37.33030216,305.3594971,37.33030216,12.26010036,34.67503615,371.2571106,34.67503615,116.0603027,34.67503615,0,32.52561279,478.4330139,32.52561279,110.862999,32.52561279,17.77529907,61.79585464,244.4573975,61.79585464,44.24330139,61.79585464,5.12869978,50.47064943,349.3957214,50.47064943,69.8302002,50.47064943,13.03660011,153.4477285,318.3843689,66.00739121,130.9530029,66.00739121,4.763599873,37.71209104,327.1981812,37.71209104,29.7336998,37.71209104,19.47120094,41.58452907,398.4604492,41.58452907,95.03869629,41.58452907,5.710599899,51.10341081,345.0407715,51.10341081,207.3235931,51.10341081,14.50640011,112.4522294,233.5998535,76.55150749,93.89890289,76.55150749,3.01699996
60.70181288,176.7451935,60.70181288,343.4424133,60.70181288,10.43080044,50.50741547,371.2571106,50.50741547,116.0603027,50.50741547,0,54.87842775,478.4330139,54.87842775,110.862999,54.87842775,17.77529907,129.399602,261.0455322,95.59772832,51.58349991,95.59772832,0.95480001,90.46717021,327.9133911,90.46717021,64.60749817,90.46717021,5.710599899,244.2781656,310.8179321,99.01108681,141.1865997,99.01108681,8.478699684,45.96390342,327.1981812,45.96390342,29.7336998,45.96390342,19.47120094,66.70319298,398.4604492,66.70319298,67.49559784,66.70319298,3.01699996,75.34733308,345.0407715,75.34733308,193.1604004,75.34733308,14.76309967,150.8612799,233.5322418,112.4522294,66.63839722,112.4522294,3.01699996
76.18781708,176.7451935,76.18781708,343.4424133,76.18781708,10.43080044,69.45470812,371.2571106,69.45470812,115.5375977,69.45470812,0,84.31452884,478.4330139,84.31452884,154.8139038,84.31452884,8.984900475,187.9560798,261.0455322,129.399602,64.1697998,129.399602,4.763599873,173.9455352,315.9088745,132.2063527,63.65390015,132.2063527,2.862400055,299.644764,310.8179321,153.4477285,178.0883026,153.4477285,4.262700081,58.01966951,327.1981812,58.01966951,28.88019943,58.01966951,22.0734005,82.26975521,382.7468567,82.26975521,98.50910187,82.26975521,3.01699996,96.34227078,358.4604492,96.34227078,197.5157013,96.34227078,6.853199959,176.2338788,225.3343353,150.8612799,57.49309921,150.8612799,2.134299994
95.08851905,176.7451935,95.08851905,301.3680115,95.08851905,7.652999878,78.52326625,374.2601624,78.52326625,115.5375977,78.52326625,0,91.04099829,478.4330139,91.04099829,206.6221924,91.04099829,0.95480001,213.4189351,266.3791199,187.9560798,70.54190063,187.9560798,14.50640011,231.2311756,315.9088745,173.9455352,63.33789825,173.9455352,1.909199953,332.8962022,300.2315063,198.8629471,235.7637024,198.8629471,0,66.43133814,327.1981812,66.43133814,28.88019943,66.43133814,22.0734005,107.170229,382.7468567,107.170229,119.3961029,107.170229,21.4720993,118.801225,358.4604492,118.801225,169.4611969,118.801225,6.853199959,201.9177301,225.3343353,176.2338788,57.49309921,176.2338788,13.82470036
111.3545459,176.7451935,111.3545459,341.2121887,111.3545459,12.26010036,88.58520719,374.2601624,88.58520719,114.9660034,88.58520719,0,99.54938392,478.4330139,99.54938392,206.6221924,99.54938392,0.95480001,239.7427486,266.3791199,213.4189351,86.03450012,213.4189351,37.40409851,344.1449489,312.0569153,231.2311756,54.67639923,231.2311756,0.95480001,358.9739878,300.2315063,244.2781656,260.9726868,244.2781656,0,94.6913637,327.1981812,94.6913637,28.91250038,94.6913637,22.7656002,127.0604526,382.7468567,127.0604526,119.3961029,127.0604526,27.50519943,151.8050545,332.9746704,151.8050545,203.8769989,151.8050545,10.43080044,222.1874091,225.3343353,201.9177301,43.54899979,201.9177301,22.09029961
160.9876867,161.2354736,160.9876867,371.379303,160.9876867,13.42150021,133.4979878,374.2601624,133.4979878,113.5843964,133.4979878,0,116.0046647,478.4330139,116.0046647,206.6221924,116.0046647,0.95480001,270.4207443,266.3791199,239.7427486,114.5948029,239.7427486,20.53280067,356.6294234,307.8742981,268.8691,53.20500183,268.8691,0,381.4022829,300.2315063,299.644764,276.9603882,299.644764,0,109.2550865,327.1981812,109.2550865,28.91250038,109.2550865,22.7656002,148.2137263,384.2214966,148.2137263,140.4029999,148.2137263,21.4720993,181.8129799,332.9746704,181.8129799,216.2671051,181.8129799,11.90470028,229.4313619,225.3343353,222.1874091,55.57369995,222.1874091,8.530799866
167.0813102,161.2354736,167.0813102,387.071991,167.0813102,13.03660011,143.4361363,374.2601624,143.4361363,114.1677017,143.4361363,0,140.4288961,478.8930969,140.4288961,243.7604065,140.4288961,0,328.4913868,242.6209412,270.4207443,141.5980988,270.4207443,14.76309967,385.4728052,307.8742981,306.5070244,47.86420059,306.5070244,1.909199953,412.9486936,300.2315063,332.8962022,245.9653931,332.8962022,0,125.0050962,321.4961853,125.0050962,29.95890045,125.0050962,21.8185997,169.8846609,384.2214966,169.8846609,140.4029999,169.8846609,21.4720993,205.9345817,332.9746704,205.9345817,217.7216034,205.9345817,11.49950027,247.5766293,225.3343353,229.4313619,55.57369995,229.4313619,8.530799866
184.0464805,161.2354736,184.0464805,387.071991,184.0464805,13.03660011,159.5761724,374.2601624,159.5761724,114.1677017,159.5761724,0,179.2133678,474.694397,179.2133678,261.7549133,179.2133678,0,393.0936304,242.6209412,328.4913868,174.2198944,328.4913868,4.763599873,411.4886822,307.8742981,344.1449489,46.80479813,344.1449489,0.95480001,474.7040615,294.3036804,358.9739878,271.2522888,358.9739878,0,150.3552935,321.4961853,150.3552935,41.13489914,150.3552935,21.8185997,185.3136823,384.2214966,185.3136823,138.9349976,185.3136823,16.7961998,224.6380002,332.9746704,224.6380002,262.6997986,224.6380002,14.06620026,265.5891303,222.8853607,247.5766293,63.57040024,247.5766293,8.530799866
204.2891129,161.2354736,204.2891129,386.2161865,204.2891129,7.825500011,174.0368056,374.2601624,174.0368056,105.7528,174.0368056,1.909199953,203.6290478,474.694397,203.6290478,261.7549133,203.6290478,0,447.6304811,261.3106689,393.0936304,119.6219025,393.0936304,11.38619995,420.0650511,307.8742981,356.6294234,46.80479813,356.6294234,0.95480001,592.3101375,331.6677246,381.4022829,272.7067871,381.4022829,0,160.9639659,321.4961853,160.9639659,41.13489914,160.9639659,20.21260071,201.01115,384.2214966,201.01115,138.9349976,201.01115,16.7961998,245.588977,332.9746704,245.588977,262.6997986,245.588977,14.06620026,281.1352645,222.8853607,265.5891303,63.57040024,265.5891303,13.91580009
235.4327795,158.9821777,235.4327795,376.7349854,235.4327795,8.159000397,193.1230885,374.2601624,193.1230885,105.7528,193.1230885,1.909199953,223.3443392,474.694397,223.3443392,260.178894,223.3443392,0,487.9944801,261.3106689,447.6304811,78.53769684,447.6304811,4.044700146,439.3727696,307.8742981,385.4728052,45.80419922,385.4728052,0,616.9267511,331.6677246,412.9486936,285.7652893,412.9486936,2.134299994,182.1341785,321.4961853,182.1341785,43.16260147,182.1341785,20.21260071,214.1348519,384.2214966,214.1348519,124.7072983,214.1348519,28.28030014,249.7096515,332.9746704,249.7096515,240.2254028,249.7096515,14.06620026,295.9228541,222.8853607,281.1352645,74.95929718,281.1352645,13.91580009
263.1420753,145.9020233,263.1420753,381.6843872,263.1420753,10.3888998,195.7523854,392.7006531,195.7523854,105.7528,195.7523854,1.909199953,271.4576787,474.694397,271.4576787,261.7762146,271.4576787,0,575.1590748,251.0830841,487.9944801,54.23690033,487.9944801,10.43080044,460.5777571,306.2027588,411.4886822,53.81470108,411.4886822,0,639.8988973,335.3996277,474.7040615,245.2124023,474.7040615,3.438899994,203.7133081,321.4961853,203.7133081,43.16260147,203.7133081,18.45639992,225.8147934,384.2214966,225.8147934,124.7072983,225.8147934,20.60709953,262.8519195,326.1452026,262.8519195,240.2254028,262.8519195,15.92280006,323.601361,222.8853607,295.9228541,75.03530121,295.9228541,19.31030083
353.9921767,123.0025406,308.567126,382.4397888,308.567126,8.735699654,199.6303163,392.7006531,199.6303163,105.7528,199.6303163,1.909199953,314.2280654,473.3718567,314.2280654,251.1029968,314.2280654,0,590.2446694,251.0830841,531.5767774,56.41939926,531.5767774,13.42150021,469.3753294,306.2027588,420.0650511,53.81470108,420.0650511,0,661.4905866,335.3996277,513.9060868,182.6640015,513.9060868,4.763599873,219.4103764,323.7284241,219.4103764,50.71689987,219.4103764,14.15550041,242.1092537,384.2214966,242.1092537,124.7072983,242.1092537,20.60709953,284.6159189,326.1452026,284.6159189,243.1179962,284.6159189,14.62110043,379.8277155,219.6821289,323.601361,82.08760071,323.601361,9.64620018
366.1394502,123.0025406,353.9921767,400.7218018,353.9921767,7.652999878,205.1238683,396.6615601,205.1238683,105.7528,205.1238683,3.01699996,324.5749275,473.3718567,324.5749275,251.3665009,324.5749275,0,653.2999655,263.9216614,575.1590748,139.4288025,575.1590748,1.909199953,503.4591446,299.8936462,439.3727696,53.75090027,439.3727696,0,686.4616572,335.3996277,553.1081122,144.5605927,553.1081122,3.931099892,241.0972485,323.7284241,241.0972485,54.7417984,241.0972485,5.710599899,259.8468129,384.2214966,259.8468129,107.5572968,259.8468129,0.95480001,338.2642297,326.1452026,338.2642297,239.9420929,338.2642297,10.99919987,390.3904395,219.6821289,379.8277155,73.52760315,379.8277155,26.88030052
400.880142,123.0025406,366.1394502,400.7218018,366.1394502,7.652999878,208.5207895,396.6615601,208.5207895,92.15470123,208.5207895,3.01699996,335.3372786,473.3718567,335.3372786,251.3665009,335.3372786,0,706.3903422,261.0667419,590.2446694,138.4082031,590.2446694,1.909199953,543.7018001,299.8936462,460.5777571,55.92750168,460.5777571,0,705.4878582,335.3996277,592.3101375,91.81950378,592.3101375,17.59410095,272.6659012,323.7284241,272.6659012,55.17559814,272.6659012,4.857500076,283.3014034,374.4320679,283.3014034,75.83360291,283.3014034,8.104399681,362.8026775,321.0166931,362.8026775,239.9420929,362.8026775,10.99919987,411.9540685,219.6821289,390.3904395,73.52760315,390.3904395,24.59119987
442.9238256,123.0025406,400.880142,405.9291992,400.880142,9.508700371,214.1932018,374.3883057,214.1932018,92.15470123,214.1932018,3.01699996,409.7112843,476.1387024,372.5242815,234.2380066,372.5242815,0,753.2444861,261.0667419,621.7723175,162.7505035,621.7723175,0,568.2090007,299.8936462,469.3753294,55.87060165,469.3753294,0,727.6155931,286.302002,616.9267511,69.41950226,616.9267511,23.39769936,290.6236752,311.7429199,290.6236752,57.19469833,290.6236752,0.95480001,309.304033,374.4320679,309.304033,75.83360291,309.304033,8.104399681,388.8419905,321.0166931,388.8419905,228.0518036,388.8419905,12.26010036,441.8077922,219.6821289,411.9540685,73.68979645,411.9540685,20.00180054
472.4158373,112.137558,442.9238256,394.9706116,442.9238256,8.984900475,236.5134696,374.3883057,236.5134696,92.15470123,236.5134696,10.04679966,462.2877484,486.0378723,409.7112843,198.8894958,409.7112843,10.67840004,813.3555193,249.4451294,653.2999655,167.7328949,653.2999655,0,588.2705521,299.8936462,503.4591446,55.46429825,503.4591446,0,779.71095,297.1826782,639.8988973,56.0802002,639.8988973,23.39769936,323.5324218,311.7429199,323.5324218,54.96260071,323.5324218,1.909199953,330.3279276,381.3300171,330.3279276,59.06850052,330.3279276,4.763599873,416.6104951,321.0166931,416.6104951,223.4127045,416.6104951,22.09029961,468.8571598,220.6362,441.8077922,76.28170013,441.8077922,0.95480001
492.6061901,112.137558,472.4158373,374.9602966,472.4158373,13.6402998,266.5532139,374.3883057,266.5532139,71.13559723,266.5532139,10.04679966,484.314319,486.0378723,462.2877484,85.57170105,462.2877484,24.74860001,880.4351131,252.1496887,706.3903422,172.9300995,706.3903422,1.909199953,599.9601299,303.1107483,543.7018001,50.04299927,543.7018001,1.350200057,795.9353764,297.1826782,661.4905866,56.0802002,661.4905866,31.50099945,352.0183551,311.7429199,352.0183551,47.9538002,352.0183551,2.698999882,365.6899028,381.3300171,365.6899028,56.92459869,365.6899028,16.60149956,450.5497225,305.0072021,450.5497225,223.4924011,450.5497225,8.049500465,497.9754433,220.6362,468.8571598,85.59069824,468.8571598,3.931099892
562.3303476,104.3126068,492.6061901,374.9602966,492.6061901,5.386000156,287.1997629,374.3883057,287.1997629,89.62550354,287.1997629,2.134299994,493.8707871,475.8503418,484.314319,35.57770157,484.314319,25.95540047,916.7148657,252.1496887,753.2444861,156.7904968,753.2444861,6.017300129,,,568.2090007,44.68930054,568.2090007,2.698999882,821.8198712,297.1826782,686.4616572,47.82410049,686.4616572,24.47579956,365.9451331,311.7429199,365.9451331,47.9538002,365.9451331,2.698999882,405.6115601,381.3300171,405.6115601,49.61299896,405.6115601,20.15539932,467.7352891,305.0072021,467.7352891,224.225296,467.7352891,6.853199959,548.0342201,223.6505585,497.9754433,90.19110107,497.9754433,8.735699654
576.637687,104.3126068,562.3303476,413.9260864,562.3303476,7.825500011,292.5308924,374.3883057,292.5308924,89.62550354,292.5308924,2.134299994,599.2412791,489.5609131,493.8707871,70.73040009,493.8707871,25.95540047,933.1161807,252.1496887,813.3555193,147.0731049,813.3555193,2.862400055,,,588.2705521,35.05870056,588.2705521,6.853199959,841.9157816,313.6513062,705.4878582,67.4108963,705.4878582,24.47579956,389.5578122,311.7429199,389.5578122,45.39279938,389.5578122,7.594600201,461.3595794,373.562439,461.3595794,108.7662964,461.3595794,2.134299994,495.9443841,305.0072021,495.9443841,224.225296,495.9443841,6.853199959,578.9261925,223.6505585,548.0342201,96.05580139,548.0342201,7.233799934
